,品种/合约,日期,名次,会员简称,成交量（手）,增减量,会员简称,持买仓量,增减量,会员简称,持卖仓量,增减量
61,棉纱CY,2022-03-17,2,海通期货,523,-533,天风期货,522,0,大地期货,251,0
62,棉纱CY,2022-03-17,3,中信期货,116,-23,永安期货,309,0,国联期货,223,-78
63,棉纱CY,2022-03-17,4,华安期货,112,-77,华泰期货,174,1,浙商期货,208,-16
64,棉纱CY,2022-03-17,5,国泰君安,107,-4,前海期货,171,1,海通期货,177,-28
65,棉纱CY,2022-03-17,6,光大期货,101,-126,摩根大通,156,55,国泰君安,159,52
66,棉纱CY,2022-03-17,7,中金岭南,100,100,东证期货,134,0,海证期货,134,35
67,棉纱CY,2022-03-17,8,国联期货,88,36,中金期货,109,0,美尔雅,122,-10
68,棉纱CY,2022-03-17,9,安粮期货,73,-70,申银万国,80,49,格林大华期货,80,0
69,棉纱CY,2022-03-17,10,徽商期货,70,8,国投安信期货,79,-3,永安期货,73,16
70,棉纱CY,2022-03-17,11,广发期货,66,-156,中财期货,65,-2,华融融达期货,72,12
71,棉纱CY,2022-03-17,12,国信期货,64,-45,物产中大,50,10,华闻期货,67,-5
72,棉纱CY,2022-03-17,13,华西期货,60,-70,银河期货,45,0,华安期货,61,-1
73,棉纱CY,2022-03-17,14,国贸期货,59,-53,格林大华期货,40,-2,中信期货,57,37
74,棉纱CY,2022-03-17,15,申银万国,57,19,恒力期货,40,0,上海中期,38,-12
75,棉纱CY,2022-03-17,16,摩根大通,55,55,招商期货,39,0,天风期货,36,0
76,棉纱CY,2022-03-17,17,浙商期货,46,-102,福能期货,29,10,中信建投,36,-2
77,棉纱CY,2022-03-17,18,海证期货,46,-150,中州期货,23,-4,东证期货,35,-8
78,棉纱CY,2022-03-17,19,鲁证期货,39,-47,徽商期货,22,-1,中国国际,33,5
79,棉纱CY,2022-03-17,20,华闻期货,39,-158,中信期货,22,-1,华泰期货,31,7
80,玻璃FG,2022-03-17,1,海通期货,100200,-6014,国泰君安,32315,1675,永安期货,40088,630
81,玻璃FG,2022-03-17,2,中信期货,76234,-11710,华泰期货,22544,1917,银河期货,28937,1089
82,玻璃FG,2022-03-17,3,创元期货,52132,-7238,方正中期,22260,-379,国泰君安,25394,-1444
83,玻璃FG,2022-03-17,4,银河期货,44717,-1822,中信期货,19409,1544,中信期货,25266,258
84,玻璃FG,2022-03-17,5,东证期货,42626,-1242,永安期货,17880,-871,东证期货,20679,1316
85,玻璃FG,2022-03-17,6,光大期货,38716,-8291,徽商期货,16816,759,申银万国,19164,433
86,玻璃FG,2022-03-17,7,国信期货,37865,-4535,光大期货,15555,-277,华泰期货,17758,2077
87,玻璃FG,2022-03-17,8,国泰君安,37113,-9276,银河期货,14402,-1322,方正中期,16461,-103
88,玻璃FG,2022-03-17,9,华闻期货,34137,-10151,华安期货,13138,211,瑞达期货,14522,679
89,玻璃FG,2022-03-17,10,方正中期,30116,-1816,中信建投,12135,206,光大期货,13457,215
90,玻璃FG,2022-03-17,11,徽商期货,29738,-4246,海通期货,11837,1056,海通期货,13258,-364
91,玻璃FG,2022-03-17,12,东海期货,28952,-9004,中辉期货,11674,472,鲁证期货,11630,84
92,玻璃FG,2022-03-17,13,东方财富,27445,-3772,浙商期货,11667,160,浙商期货,10775,-489
93,玻璃FG,2022-03-17,14,华泰期货,26778,-2650,平安期货,11317,438,五矿期货,10488,-304
94,玻璃FG,2022-03-17,15,华安期货,24125,-667,南华期货,11148,151,东吴期货,10216,21
95,玻璃FG,2022-03-17,16,渤海期货,23870,-3604,广发期货,10753,635,国投安信期货,10209,514
96,玻璃FG,2022-03-17,17,东吴期货,22707,-3144,国投安信期货,10619,-29,中投天琪,10075,66
97,玻璃FG,2022-03-17,18,中信建投,22314,-4981,申银万国,10204,-1521,南华期货,9555,-765
98,玻璃FG,2022-03-17,19,华西期货,19313,-1765,中粮期货,9793,-149,广发期货,9413,-343
99,玻璃FG,2022-03-17,20,申银万国,17792,-9173,东证期货,9694,404,徽商期货,8952,183
100,粳稻JR,2022-03-17,1,弘业期货,18,5,恒泰期货,11,0,长江期货,37,-1
101,粳稻JR,2022-03-17,2,东证期货,16,6,徽商期货,6,4,徽商期货,1,0
102,粳稻JR,2022-03-17,3,上海大陆,11,0,盛达期货,3,0,东证期货,1,-5
103,粳稻JR,2022-03-17,4,申银万国,8,-1,南华期货,3,1,新纪元期货,0,0
104,粳稻JR,2022-03-17,5,宏源期货,7,1,申银万国,2,1,上海大陆,0,0
105,粳稻JR,2022-03-17,6,徽商期货,6,-12,福能期货,2,0,国投安信期货,0,0
106,粳稻JR,2022-03-17,7,国泰君安,3,0,东证期货,2,-5,招商期货,0,0
107,粳稻JR,2022-03-17,8,中辉期货,3,-13,宏源期货,2,1,弘业期货,0,-1
108,粳稻JR,2022-03-17,9,华安期货,3,2,弘业期货,1,1,盛达期货,0,0
109,粳稻JR,2022-03-17,10,新纪元期货,2,2,渤海期货,1,0,申银万国,0,-3
110,粳稻JR,2022-03-17,11,中粮期货,2,-4,中粮期货,1,0,方正中期,0,0
111,粳稻JR,2022-03-17,12,创元期货,2,-2,光大期货,1,1,国元期货,0,0
112,粳稻JR,2022-03-17,13,中衍期货,2,0,九州期货,1,0,渤海期货,0,0
113,粳稻JR,2022-03-17,14,鲁证期货,1,-1,天风期货,1,0,鲁证期货,0,0
114,粳稻JR,2022-03-17,15,长江期货,1,-15,上海中期,1,0,中粮期货,0,0
115,粳稻JR,2022-03-17,16,光大期货,1,1,中辉期货,1,1,华金期货,0,0
116,粳稻JR,2022-03-17,17,广发期货,1,0,新纪元期货,0,0,福能期货,0,0
117,粳稻JR,2022-03-17,18,南华期货,1,-3,上海大陆,0,-7,创元期货,0,0
118,粳稻JR,2022-03-17,19,国投安信期货,0,-2,国投安信期货,0,0,迈科期货,0,0
119,粳稻JR,2022-03-17,20,招商期货,0,-4,招商期货,0,0,光大期货,0,0
120,晚籼LR,2022-03-17,1,徽商期货,25,23,迈科期货,3,3,徽商期货,3,2
121,晚籼LR,2022-03-17,2,中辉期货,11,11,徽商期货,1,1,中辉期货,1,1
122,晚籼LR,2022-03-17,3,中信期货,4,4,中信期货,0,0,中信期货,0,0
123,晚籼LR,2022-03-17,4,恒泰期货,4,4,中粮期货,0,0,中粮期货,0,0
124,晚籼LR,2022-03-17,5,迈科期货,3,3,海通期货,0,0,海通期货,0,0
125,晚籼LR,2022-03-17,6,中粮期货,2,2,东证期货,0,0,迈科期货,0,0
126,晚籼LR,2022-03-17,7,海通期货,2,2,广发期货,0,0,东证期货,0,0
127,晚籼LR,2022-03-17,8,广发期货,2,2,中辉期货,0,0,广发期货,0,0
