,品种/合约,日期,名次,会员简称,成交量（手）,增减量,会员简称,持买仓量,增减量,会员简称,持卖仓量,增减量
61,棉纱CY,2021-01-29,2,美尔雅,5750,2523,天风期货,765,0,中信期货,833,-55
62,棉纱CY,2021-01-29,3,南华期货,1507,-661,五矿经易期货,672,67,五矿经易期货,670,65
63,棉纱CY,2021-01-29,4,中粮期货,1352,-861,永安期货,612,-2,永安期货,621,-45
64,棉纱CY,2021-01-29,5,国海良时,1099,649,南华期货,513,-184,南华期货,565,-181
65,棉纱CY,2021-01-29,6,永安期货,1073,487,弘业期货,431,3,摩根大通,461,45
66,棉纱CY,2021-01-29,7,瑞达期货,848,272,中信期货,415,-93,东证期货,423,92
67,棉纱CY,2021-01-29,8,东证期货,798,205,国投安信期货,400,26,中粮期货,406,-189
68,棉纱CY,2021-01-29,9,弘业期货,794,-146,长江期货,389,5,国投安信期货,396,19
69,棉纱CY,2021-01-29,10,中信期货,780,-95,大地期货,358,26,瑞达期货,360,11
70,棉纱CY,2021-01-29,11,宏源期货,765,170,瑞达期货,352,-19,弘业期货,359,-3
71,棉纱CY,2021-01-29,12,锦泰期货,730,10,东证期货,335,-72,长江期货,353,-1
72,棉纱CY,2021-01-29,13,长江期货,664,185,锦泰期货,305,6,锦泰期货,305,6
73,棉纱CY,2021-01-29,14,国投安信期货,597,100,国泰君安,220,1,国泰君安,229,-46
74,棉纱CY,2021-01-29,15,五矿经易期货,490,-139,中粮期货,215,-187,华泰期货,216,-12
75,棉纱CY,2021-01-29,16,光大期货,394,13,招商期货,146,105,海通期货,197,-16
76,棉纱CY,2021-01-29,17,浙商期货,337,54,华联期货,118,40,广发期货,151,0
77,棉纱CY,2021-01-29,18,东吴期货,321,218,海证期货,96,-2,美尔雅,131,-8
78,棉纱CY,2021-01-29,19,安粮期货,281,29,方正中期,70,15,光大期货,54,-4
79,棉纱CY,2021-01-29,20,徽商期货,239,93,鲁证期货,65,15,国信期货,43,-1
80,玻璃FG,2021-01-29,1,国富期货,181367,-50026,中信期货,75943,1301,方正中期,27499,2041
81,玻璃FG,2021-01-29,2,中信期货,139674,14055,国泰君安,44240,2755,国泰君安,26220,-490
82,玻璃FG,2021-01-29,3,海通期货,111908,-1699,永安期货,34609,-1592,华泰期货,24187,-5765
83,玻璃FG,2021-01-29,4,东证期货,69993,-305,银河期货,24362,-1291,永安期货,22296,1035
84,玻璃FG,2021-01-29,5,光大期货,60325,-3748,宝城期货,18450,-2,中信期货,20427,-753
85,玻璃FG,2021-01-29,6,徽商期货,50282,657,方正中期,15211,-697,国投安信期货,18129,32
86,玻璃FG,2021-01-29,7,新湖期货,45241,-11487,华泰期货,14649,-1477,中辉期货,17559,-589
87,玻璃FG,2021-01-29,8,冠通期货,43975,-31902,海通期货,14023,235,徽商期货,16522,-2519
88,玻璃FG,2021-01-29,9,国泰君安,38693,-7477,浙商期货,11914,205,五矿经易期货,14524,71
89,玻璃FG,2021-01-29,10,方正中期,38424,-15234,东吴期货,11735,-381,浙商期货,14146,114
90,玻璃FG,2021-01-29,11,华泰期货,37064,-8021,广发期货,11281,468,东证期货,13562,-5173
91,玻璃FG,2021-01-29,12,华安期货,36698,-937,徽商期货,11152,-457,中信建投,12421,4247
92,玻璃FG,2021-01-29,13,中信建投,36610,-17763,五矿经易期货,10927,-584,华安期货,12288,-538
93,玻璃FG,2021-01-29,14,申银万国,33892,-579,南华期货,9677,-714,平安期货,12111,1163
94,玻璃FG,2021-01-29,15,广发期货,33703,-6729,东证期货,9342,-3194,申银万国,11785,3857
95,玻璃FG,2021-01-29,16,永安期货,28193,-10226,光大期货,9272,-337,光大期货,11611,-1736
96,玻璃FG,2021-01-29,17,银河期货,27384,653,中辉期货,8870,61,海通期货,11436,-95
97,玻璃FG,2021-01-29,18,华西期货,23491,-23413,弘业期货,8540,-242,银河期货,11299,-2297
98,玻璃FG,2021-01-29,19,东吴期货,23153,-10788,国投安信期货,8220,451,弘业期货,11255,567
99,玻璃FG,2021-01-29,20,中粮期货,21221,-1680,国富期货,7710,-1893,东吴期货,10223,-86
100,粳稻JR,2021-01-29,1,东航期货,16,10,天风期货,16,0,长江期货,40,0
101,粳稻JR,2021-01-29,2,渤海期货,10,0,东航期货,12,8,渤海期货,28,10
102,粳稻JR,2021-01-29,3,国投安信期货,4,0,平安期货,10,0,徽商期货,2,1
103,粳稻JR,2021-01-29,4,江西瑞奇,4,4,西南期货,9,0,上海大陆,1,1
104,粳稻JR,2021-01-29,5,南华期货,4,4,华安期货,5,-1,中辉期货,1,0
105,粳稻JR,2021-01-29,6,上海大陆,3,2,南华期货,4,4,华泰期货,0,0
106,粳稻JR,2021-01-29,7,徽商期货,3,-1,金石期货,2,0,国投安信期货,0,-4
107,粳稻JR,2021-01-29,8,华安期货,3,3,瑞达期货,2,0,弘业期货,0,0
108,粳稻JR,2021-01-29,9,中辉期货,1,1,华鑫期货,2,0,江西瑞奇,0,0
109,粳稻JR,2021-01-29,10,华泰期货,0,0,宏源期货,2,0,金石期货,0,0
110,粳稻JR,2021-01-29,11,弘业期货,0,-2,华泰期货,1,0,银河期货,0,0
111,粳稻JR,2021-01-29,12,金石期货,0,0,徽商期货,1,-2,鲁证期货,0,0
112,粳稻JR,2021-01-29,13,银河期货,0,0,银河期货,1,0,西南期货,0,0
113,粳稻JR,2021-01-29,14,鲁证期货,0,0,鲁证期货,1,0,海通期货,0,0
114,粳稻JR,2021-01-29,15,西南期货,0,0,海通期货,1,0,浙商期货,0,0
115,粳稻JR,2021-01-29,16,长江期货,0,0,中辉期货,1,-1,瑞达期货,0,0
116,粳稻JR,2021-01-29,17,海通期货,0,0,金信期货,1,0,东航期货,0,0
117,粳稻JR,2021-01-29,18,浙商期货,0,-1,华闻期货,1,0,天风期货,0,0
