,品种/合约,日期,名次,会员简称,成交量（手）,增减量,会员简称,持买仓量,增减量,会员简称,持卖仓量,增减量
60,棉纱CY,2021-12-01,1,海通期货,3560,-5382,华泰期货,519,-292,上海中期,464,-2
61,棉纱CY,2021-12-01,2,东证期货,1733,-2971,国贸期货,421,-27,中国国际,437,25
62,棉纱CY,2021-12-01,3,华闻期货,1502,-201,上海中期,379,1,海通期货,368,-22
63,棉纱CY,2021-12-01,4,光大期货,1413,-1262,浙商期货,301,-17,华融融达期货,333,-4
64,棉纱CY,2021-12-01,5,平安期货,757,-332,中信期货,249,-87,中州期货,259,30
65,棉纱CY,2021-12-01,6,中信期货,753,-1684,平安期货,243,-88,大地期货,180,1
66,棉纱CY,2021-12-01,7,华西期货,616,53,天风期货,232,126,华闻期货,143,-22
67,棉纱CY,2021-12-01,8,徽商期货,517,-273,摩根大通,212,-48,浙商期货,135,-33
68,棉纱CY,2021-12-01,9,国泰君安,493,-173,国泰君安,193,6,东证期货,130,-158
69,棉纱CY,2021-12-01,10,华泰期货,473,-445,金元期货,171,-52,福能期货,120,4
70,棉纱CY,2021-12-01,11,国信期货,472,47,国联期货,107,-8,国泰君安,116,-71
71,棉纱CY,2021-12-01,12,银河期货,398,-169,银河期货,99,25,南华期货,104,55
72,棉纱CY,2021-12-01,13,浙商期货,340,-1358,新湖期货,66,-2,方正中期,93,5
73,棉纱CY,2021-12-01,14,广发期货,311,-136,南华期货,64,26,银河期货,91,-13
74,棉纱CY,2021-12-01,15,山西三立,309,289,东证期货,63,-133,永安期货,88,-8
75,棉纱CY,2021-12-01,16,鲁证期货,293,24,海通期货,60,-42,海证期货,81,-1
76,棉纱CY,2021-12-01,17,中州期货,281,-28,永安期货,55,-9,华泰期货,73,25
77,棉纱CY,2021-12-01,18,浙江新世纪,269,214,中投天琪,52,-8,国联期货,65,39
78,棉纱CY,2021-12-01,19,南华期货,263,-1318,徽商期货,45,14,新湖期货,58,-2
79,棉纱CY,2021-12-01,20,华安期货,240,-100,华融融达期货,43,0,广州期货,54,-2
80,玻璃FG,2021-12-01,1,中信期货,77239,3067,中信期货,21840,2292,永安期货,22185,821
81,玻璃FG,2021-12-01,2,创元期货,75465,-2723,东证期货,20006,572,东证期货,18250,-2526
82,玻璃FG,2021-12-01,3,海通期货,64844,-1486,国泰君安,14117,1828,中信期货,18246,-205
83,玻璃FG,2021-12-01,4,国信期货,50020,-8528,光大期货,11987,-3502,光大期货,13061,-2934
84,玻璃FG,2021-12-01,5,光大期货,36328,3872,华泰期货,11094,1147,银河期货,12389,-1583
85,玻璃FG,2021-12-01,6,华闻期货,33763,2405,永安期货,10660,-65,中信建投,10861,-4
86,玻璃FG,2021-12-01,7,国泰君安,32336,3393,天风期货,10050,-811,中粮期货,10734,1675
87,玻璃FG,2021-12-01,8,东证期货,32268,-221,兴证期货,9746,-2,方正中期,10327,921
88,玻璃FG,2021-12-01,9,东吴期货,30075,-6730,中信建投,9442,-210,浙商期货,10025,738
89,玻璃FG,2021-12-01,10,东方财富,25038,-3477,平安期货,8505,-1158,国泰君安,9724,-1278
90,玻璃FG,2021-12-01,11,徽商期货,23726,-997,长江期货,8482,181,鲁证期货,9473,210
91,玻璃FG,2021-12-01,12,银河期货,21233,-615,东吴期货,8465,-145,天风期货,9074,-536
92,玻璃FG,2021-12-01,13,华泰期货,21099,-1039,鲁证期货,8171,-167,华泰期货,8312,-556
93,玻璃FG,2021-12-01,14,华安期货,20744,-2176,国投安信期货,8153,1288,兴证期货,8298,-444
94,玻璃FG,2021-12-01,15,华西期货,20231,-1386,国信期货,7840,-88,平安期货,8189,-95
95,玻璃FG,2021-12-01,16,中辉期货,20150,-3442,方正中期,7456,126,瑞达期货,8105,-2455
96,玻璃FG,2021-12-01,17,方正中期,19931,-1872,南华期货,6919,549,长江期货,8052,453
97,玻璃FG,2021-12-01,18,永安期货,18264,-2248,国元期货,6892,-669,东吴期货,7466,222
98,玻璃FG,2021-12-01,19,中信建投,14418,-2505,瑞达期货,6818,389,先锋期货,7384,-12
99,玻璃FG,2021-12-01,20,平安期货,14131,554,国贸期货,6727,-237,东航期货,6993,-1259
100,粳稻JR,2021-12-01,1,徽商期货,1,1,长江期货,15,0,一德期货,19,0
101,粳稻JR,2021-12-01,2,中信建投,1,1,方正中期,1,0,银河期货,1,0
102,粳稻JR,2021-12-01,3,方正中期,0,0,银河期货,1,0,广发期货,1,0
103,粳稻JR,2021-12-01,4,银河期货,0,0,中信建投,1,-1,徽商期货,0,-1
104,粳稻JR,2021-12-01,5,长江期货,0,0,倍特期货,1,0,方正中期,0,0
105,粳稻JR,2021-12-01,6,广发期货,0,0,中辉期货,1,0,长江期货,0,0
106,粳稻JR,2021-12-01,7,倍特期货,0,0,一德期货,1,0,中信建投,0,0
107,粳稻JR,2021-12-01,8,中辉期货,0,0,徽商期货,0,0,倍特期货,0,0
108,粳稻JR,2021-12-01,9,一德期货,0,0,广发期货,0,0,中辉期货,0,0
109,甲醇MA,2021-12-01,1,东证期货,328796,5062,东证期货,101941,10363,东证期货,93400,5633
110,甲醇MA,2021-12-01,2,中信期货,286165,32545,中信期货,74721,11556,中信期货,77214,9151
111,甲醇MA,2021-12-01,3,光大期货,212995,10589,永安期货,71128,3610,永安期货,58710,-2056
112,甲醇MA,2021-12-01,4,海通期货,180585,-6974,光大期货,55384,-539,一德期货,54384,6493
113,甲醇MA,2021-12-01,5,新湖期货,122672,3855,国泰君安,54896,11749,光大期货,53343,4938
114,甲醇MA,2021-12-01,6,华泰期货,112492,40985,华泰期货,53704,-1199,浙商期货,48561,-1493
115,甲醇MA,2021-12-01,7,华闻期货,97560,-30193,申银万国,52858,77,华泰期货,46292,-6557
116,甲醇MA,2021-12-01,8,中辉期货,81090,12124,海通期货,47527,6751,海通期货,42008,-2600
117,甲醇MA,2021-12-01,9,国泰君安,79217,21131,新湖期货,43072,-2702,银河期货,41591,-5814
118,甲醇MA,2021-12-01,10,东方财富,78114,9444,弘业期货,42096,-6082,国泰君安,41584,2700
119,甲醇MA,2021-12-01,11,东吴期货,76363,11473,中辉期货,40783,4019,申银万国,39349,2172
120,甲醇MA,2021-12-01,12,银河期货,72993,13710,国投安信期货,39037,1381,广发期货,38064,-2471
121,甲醇MA,2021-12-01,13,申银万国,69601,14494,东吴期货,35424,3681,新湖期货,36482,-3396
122,甲醇MA,2021-12-01,14,方正中期,63863,16907,银河期货,32910,3679,东吴期货,30319,2962
123,甲醇MA,2021-12-01,15,徽商期货,62527,3452,中信建投,30183,1190,国投安信期货,29753,-2099
124,甲醇MA,2021-12-01,16,华西期货,60266,9142,华闻期货,24797,-7840,大地期货,27503,-1240
125,甲醇MA,2021-12-01,17,冠通期货,58309,23906,瑞达期货,23703,2621,中辉期货,26123,4119
126,甲醇MA,2021-12-01,18,弘业期货,51458,24056,浙商期货,21666,-1192,华闻期货,24866,-6896
127,甲醇MA,2021-12-01,19,中信建投,48638,8994,国富期货,20507,3302,中信建投,24235,1688
128,甲醇MA,2021-12-01,20,华安期货,46960,788,徽商期货,20347,305,五矿期货,22847,-1617
129,菜油OI,2021-12-01,1,东证期货,114670,31747,中信期货,23172,258,中粮期货,21547,4108
130,菜油OI,2021-12-01,2,海通期货,107295,-55832,东证期货,19244,-142,中信期货,20175,321
131,菜油OI,2021-12-01,3,中信期货,76987,-7643,首创期货,18298,-682,国投安信期货,12874,-245
132,菜油OI,2021-12-01,4,银河期货,38601,-16144,一德期货,14719,296,上海中期,11086,508
133,菜油OI,2021-12-01,5,新湖期货,36138,-827,西部期货,14232,1,银河期货,9262,2865
134,菜油OI,2021-12-01,6,锦泰期货,34235,6775,国泰君安,12430,-137,永安期货,8870,214
135,菜油OI,2021-12-01,7,光大期货,32909,-2207,中粮期货,12415,316,中信建投,8220,-327
136,菜油OI,2021-12-01,8,华闻期货,31764,1123,华泰期货,12303,1226,广发期货,7443,469
137,菜油OI,2021-12-01,9,国泰君安,25015,-7028,银河期货,11933,2460,瑞达期货,7047,-45
138,菜油OI,2021-12-01,10,中信建投,24850,5077,永安期货,9801,-41,国泰君安,6848,-870
139,菜油OI,2021-12-01,11,华泰期货,22681,1960,国投安信期货,8003,306,东证期货,6707,-704
140,菜油OI,2021-12-01,12,兴证期货,21968,8426,兴证期货,7589,3353,光大期货,6568,-1170
141,菜油OI,2021-12-01,13,国信期货,20666,-3825,海通期货,7259,1595,兴证期货,6432,2701
142,菜油OI,2021-12-01,14,华西期货,18201,-3783,中信建投,6361,473,信达期货,6321,7
143,菜油OI,2021-12-01,15,徽商期货,15520,-1387,建信期货,5387,17,华泰期货,5824,327
144,菜油OI,2021-12-01,16,中粮期货,14344,2122,国富期货,5132,-618,弘业期货,5649,1174
145,菜油OI,2021-12-01,17,东吴期货,14294,-3649,华融融达期货,4430,-102,方正中期,5462,622
146,菜油OI,2021-12-01,18,中辉期货,13092,-2369,东吴期货,4421,744,海通期货,5189,498
147,菜油OI,2021-12-01,19,方正中期,12485,-5635,国盛期货,3072,138,摩根大通,5123,0
148,菜油OI,2021-12-01,20,华安期货,11978,-1409,浙商期货,3050,719,先锋期货,4611,-40
149,短纤PF,2021-12-01,1,中信期货,60388,-13488,瑞达期货,8548,240,中信期货,15995,-614
150,短纤PF,2021-12-01,2,东证期货,31425,-5333,永安期货,8224,-514,永安期货,13472,-378
151,短纤PF,2021-12-01,3,光大期货,12118,538,中信期货,7963,-352,国贸期货,10079,-18
152,短纤PF,2021-12-01,4,华闻期货,11420,-4360,国泰君安,7581,107,瑞达期货,9368,421
153,短纤PF,2021-12-01,5,国信期货,11046,112,华泰期货,6391,-371,国泰君安,7901,-524
154,短纤PF,2021-12-01,6,徽商期货,10818,-4140,东吴期货,6147,-411,银河期货,6210,353
155,短纤PF,2021-12-01,7,新湖期货,10404,-4297,五矿期货,5477,-123,东证期货,5879,-173
156,短纤PF,2021-12-01,8,兴证期货,8611,916,国联期货,4693,120,宝城期货,5813,3151
157,短纤PF,2021-12-01,9,长江期货,8098,-5879,方正中期,4489,-245,中投天琪,4914,-948
158,短纤PF,2021-12-01,10,华安期货,7985,-1598,徽商期货,4231,110,华泰期货,4624,104
159,短纤PF,2021-12-01,11,东吴期货,7696,-989,国投安信期货,3898,-132,五矿期货,4569,-52
160,短纤PF,2021-12-01,12,华西期货,7520,432,上海中期,3795,-234,国投安信期货,4400,206
161,短纤PF,2021-12-01,13,鲁证期货,6788,460,大地期货,3651,-112,金元期货,4291,100
162,短纤PF,2021-12-01,14,华泰期货,6599,-1176,广发期货,3548,203,广发期货,4196,99
163,短纤PF,2021-12-01,15,国泰君安,6105,-2071,中国国际,3364,59,宏源期货,3219,25
164,短纤PF,2021-12-01,16,宝城期货,5140,2239,招商期货,3192,-556,中信建投,2955,-100
165,短纤PF,2021-12-01,17,永安期货,5092,-757,中辉期货,3002,100,东吴期货,2847,-75
166,短纤PF,2021-12-01,18,方正中期,4891,-1007,国贸期货,2978,-31,招商期货,2739,-358
167,短纤PF,2021-12-01,19,中信建投,4870,216,长江期货,2949,-425,中辉期货,2493,98
168,短纤PF,2021-12-01,20,银河期货,4530,-1887,中信建投,2947,-150,方正中期,2407,62
169,花生PK,2021-12-01,1,中信期货,15095,-16888,方正中期,8625,592,美尔雅,10590,1199
170,花生PK,2021-12-01,2,东证期货,7830,-4874,东海期货,7074,-37,浙商期货,8761,-408
171,花生PK,2021-12-01,3,光大期货,5818,-7137,中粮期货,6832,67,银河期货,7471,266
172,花生PK,2021-12-01,4,徽商期货,5000,-5485,徽商期货,6263,-176,一德期货,7231,1158
173,花生PK,2021-12-01,5,美尔雅,4626,-759,中信建投,6081,78,国泰君安,6323,11
174,花生PK,2021-12-01,6,海通期货,4465,-3071,中信期货,5136,-12,天风期货,5606,153
175,花生PK,2021-12-01,7,国富期货,3416,-1119,东方财富,4721,36,新湖期货,5582,169
176,花生PK,2021-12-01,8,鲁证期货,3217,-2469,国泰君安,4580,96,中融汇信,5472,-8
177,花生PK,2021-12-01,9,银河期货,3123,-4025,银河期货,4552,11,永安期货,4627,-189
178,花生PK,2021-12-01,10,华闻期货,3069,-2854,光大期货,4429,115,国投安信期货,4140,-394
